pair,direction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
dashbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3836,265.85449999999986,436.91760000000033,275.8669000000001,354.439,231.64719999999997,288.11949999999996,349.4520999999998,303.2652999999999,270.83859999999993,191.14110000000005
dashbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,60.92131788466424,256.5003700500599,499.61861004699654,353.2255180098677,417.04356468688104,310.71443232749056,263.13190000000054,329.4712690714477,306.1741299376297,324.7247571530954,185.7127337205381
adabtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,30808.47999999999,236043.81170956462,443480.0799999999,435390.9799999999,294049.9506933168,237242.61999999994,140978.67999999996,108637.62999999996,129565.32000000007,151091.46000000014,105595.80609937895
adabtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,59780.37730707652,434760.2957364346,364558.1212367843,603091.2886968746,217537.40187803475,215849.2865684043,297222.20225881785,106578.98568019837,147389.58341617155,95362.36087403531,111832.30390062112
adausdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,296523.74970000016,1415327.078942334,1600803.960168952,3225818.123986804,1586657.9937665218,783166.8374342719,415207.2236999999,405935.4957375347,652958.8240859389,287573.2336431952,644268.2061934808
adausdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,48932.30197897104,1679521.8029186148,1789107.781034133,1600275.9310068034,1279095.1357379893,788687.7940439064,361259.12908846897,274515.0147623233,599029.8498831865,253522.14122571287,141058.40795750447
bchbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3127,133.6045,214.14839999999978,111.94839999999995,331.6133999999996,99.75840000000001,62.35590000000007,79.50900000000004,80.47009999999995,52.23770000000001,103.93050000000012
bchbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4675,139.6785,286.71739999999994,99.73779999999998,140.44620000000012,104.09099999999992,38.47620000000001,103.28270000000009,103.55540000000002,51.850600000000036,113.30559999999998
bchusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,261.98139999999984,1441.186100095169,1552.3190999999983,2011.4134908011622,1346.1706740689851,740.9808999999991,720.4123999999998,753.5480543651464,559.2580357034461,661.7501000000003,740.0147133157592
bchusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,230.85569999999996,1390.005022071839,1354.9182192217986,2396.1284738791214,3548.5544658392864,3608.8410288412124,604.5631310506315,955.3204022399619,805.2169231520036,829.6937713172637,672.0825158172969
btcusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,38.86205103109569,614.8276645341216,672.2113300557662,507.9477005343647,313.13851510459546,210.76267276628116,190.32622433439084,191.40556028547502,209.91185530820465,173.39603967931797,199.55351834563376
btcusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25280326109758,640.9930523950778,510.36299076664875,525.4563544432493,314.3713092346266,296.7168875862304,266.1550832496355,210.7568184919655,326.27355880350456,196.45918427747063,130.59353006648664
dashbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3836,265.85449999999986,436.91760000000033,275.8669000000001,354.439,231.64719999999997,288.11949999999996,349.4520999999998,303.2652999999999,270.83859999999993,191.14110000000005
dashbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,60.92131788466424,256.5003700500599,499.61861004699654,353.2255180098677,417.04356468688104,310.71443232749056,263.13190000000054,329.4712690714477,306.1741299376297,324.7247571530954,185.7127337205381
dashusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,72.46749999999999,365.6887943225839,501.92950000000013,562.9092999999997,373.7536000000001,159.3140999999999,564.5792000000002,388.1156000000001,542.2447000000002,404.6724000000001,201.84920000000005
dashusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,143.4079,561.2081655135826,679.8623345299451,480.3571675030689,330.1661647725323,258.368,566.4590999999996,412.6122,306.0150000000001,675.8365999999999,189.31237952981547
eosbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,8916.280000000004,78127.23500918485,46994.6887730675,51692.913448201325,55631.350000000064,18407.070975472387,29267.92836457896,18994.449662878684,18859.230005259265,16870.08334934065,14067.150000000007
eosbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,3654.173982859724,90463.46410320966,38816.115506013615,57774.68693632835,39240.48494252823,25662.080420610127,20059.002348589347,19867.799185568518,21102.631574304894,15887.280543974714,12564.511263911383
eosusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,56098.65830000007,425858.6254497975,461838.8645670709,851873.2029239322,678703.9446561552,280388.91368896374,302802.5144320976,161641.463722782,178532.46780398363,234357.52268234012,192108.25564552614
eosusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,76454.54977027091,549253.1246589995,383292.8745272994,794757.2630861787,624341.3404328057,264756.08915016014,241279.40987816258,239884.2888507063,175884.89108518697,254246.03335668574,172554.13080006765
etcbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,348.48740000000004,5408.659400000001,4374.897899999998,2949.374100000001,9697.409800000003,1536.6674999999998,1174.7225000000003,5362.9890000000005,1457.4866999999995,1508.5399,2340.5116
etcbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,775.8640999999999,8413.313399999994,4805.421600000005,5941.573999999993,6887.431599999999,2734.8617999999974,752.5682000000003,3771.2822000000006,1739.6866000000002,3021.4120999999996,1893.7841000000005
etcusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,1909.3800999999996,30249.774619938595,36445.534900000035,43434.558221319254,39649.220838709705,12065.271200000008,16973.1051,17607.74200000001,18599.10820000001,20790.78200000001,9070.441204706201
etcusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,2870.758000000001,52425.07341974171,32851.13429139544,42250.13308170419,38946.31299418423,15987.444239297292,19765.189326731055,12113.148982218385,14703.655296954013,22418.793276809534,6941.849988104105
ethbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,83.30250000000008,1807.1812000000098,1276.3972000000006,1212.2950000000053,984.6609999999993,854.0404000000008,529.624799999999,651.6944000000009,441.3361999999997,319.1905000000001,466.00699999999995
ethbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,133.48189999999997,1429.9556000000005,1381.789399999998,1078.7024000000024,1263.8353999999981,784.2427000000001,493.6500999999999,417.0571000000004,547.4441000000003,416.65340000000003,442.1263000000009
ethusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,847.2531000000002,5825.992347761094,6179.631998660523,6438.719894059978,4626.447377763543,2250.199905829132,3452.9646074320563,2955.8553456179766,2767.8202342745267,3318.3761833055814,2053.582921616383
ethusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,929.5030041896064,8438.047935251163,5795.229563724493,5949.272071935149,3911.5924065236686,4023.6572507796755,4239.4907743136455,3195.120596520669,3103.629748912155,2642.000321266154,1620.9766764664762
iotabtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,4131.82,43076.900000000576,24694.160000000273,12701.220000000012,269256.0535473618,644957.4599999896,26024.04000000015,7924.609999999971,13011.530000000106,12739.99,4168.560000000001
iotabtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,3827.3300000000004,35674.70000708227,28129.556316635626,12992.00600730128,225308.8954896168,567107.0330929148,27958.776803797045,20876.6682720605,12757.190000000059,16422.74020765034,6898.458898166615
iotausdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,5520.433599999978,99314.95907150993,57523.53687381705,52029.563436563396,56342.57070000014,46979.32600000027,64856.603000000214,20731.635500000117,22605.79730000014,28235.221900000164,9286.082399999985
iotausdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,6989.892099999979,83393.1528337073,63151.89973819483,92624.40556563712,31789.537445123926,55751.47012738479,111847.77565025653,36526.92657850014,31344.739044365135,27581.668819333012,5941.441898573149
ltcbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,53.02839999999999,625.8557999999995,831.6124999999998,563.1244,1161.2359000000004,171.66810000000004,277.6644,235.34890000000004,278.40860000000004,222.51629999999997,143.3781999999999
ltcbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2538,421.8896000000002,721.4274999999998,574.7577000000001,713.9315,342.2326,157.22469999999996,203.11289999999997,267.96299999999985,164.22610000000006,96.87210000000002
ltcusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,633.4471,4473.053999999989,2919.0946983734143,6092.733083475607,3530.032200000003,1935.9661000000015,2287.9854000000023,1856.7989000000005,1210.2308000000012,2165.8671000000013,860.5948999999995
ltcusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,517.3472698048711,4691.585344987581,3795.7505072978347,8956.331622440604,3225.164275874193,2381.9415057031642,2465.7967999999987,1627.973335801589,1779.0931652328688,1422.3856712828322,910.5310950497318
omgbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.8407999999997,4626.9664,5044.3034,4877.688399999999,6748.638399999995,4096.754100000002,1572.9630000000002,3279.8493000000008,3091.0158,2925.9248604608865,2590.800800000001
omgbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,1464.7378,4921.226200000002,3074.593595784035,4873.167974650173,9596.99142598732,2372.020913269521,1460.4033862584995,5945.816683236186,7145.464789475148,3095.9234555050857,1958.6683964264103
omgusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,11008.063734013607,23128.5649397465,15527.0315,23270.932388342513,21480.76120000001,4208.946000000002,11201.817500000005,9159.435999999992,8133.887599999999,7795.1987,7410.307000000001
omgusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,4869.3074,20465.124861870718,20054.301286388774,30215.211849803727,21192.06798760455,4296.101199999997,8104.391247808436,7903.858,9374.717741884444,10584.362510243476,10474.302900000002
steembtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,4211.099999999999,56728.60000000006,22416.037866423478,11918.216931215158,8792.380000000006,2652.840000000002,1762.4999923847104,2180.819999999995,5605.188447489863,11094.340258355163,3610.6744081632646
steembtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,3583.886102902829,30564.28319368109,15509.016662488195,6562.688868850831,8708.378696182377,4272.238792912325,1708.0108393921505,1584.6059733464203,5607.596830088041,5842.957655814092,5394.388749428949
steemusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,10388.425300000008,70027.33111042842,30465.124099999997,36833.321200000006,8469.416200000003,5646.862599999991,1918.7505000000006,2001.277000000001,9844.8279,2278.2909999999993,2506.7301799045217
steemusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,9172.8412,44248.93215527381,33350.9208583934,29482.079113729204,4555.754375638552,1191.6623338885802,2942.4772000000007,5541.001000000006,3125.1277518170978,8609.447100000001,3088.884940190955
xrpbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,18158.0,491313.0,466596.0,487415.0,248000.0,126047.0,86423.0,285920.0,435245.0,142582.0,124001.0
xrpbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,29612.0,379669.24884199427,534852.2836325702,447253.0130305905,321899.1749404555,191158.290181486,150814.9590973856,249964.28411391826,536779.4002681748,242460.84839396828,98524.0
xrpusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,247743.71000000005,1935560.8044820451,2315110.421775619,2177270.8205225193,1267570.3067704234,738395.2499999993,905569.8400000007,720159.1536389533,971276.7984098035,1149259.575464532,702836.7254055154
xrpusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,213597.42132968834,2380328.0975188995,2350018.610858604,2717771.147999748,1971343.6282134787,648123.7785023927,666521.7877104575,1090467.8627018412,934254.4546457235,1347754.4605055985,866011.377867793
zecbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,32.380799999999994,163.68354137931036,215.59460000000004,160.1213000000001,195.30049999999994,131.87700000000004,128.9479,178.98649999999995,261.5079000000001,180.80430000000004,136.1247
zecbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,33.668632344458175,173.14241829946627,267.15279372263757,212.83781114072679,237.2548938687849,202.97805172315174,149.73460000000003,248.23119187891072,338.7116440125141,181.77646257820425,161.62021774529637
zecusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0796,167.62170000000003,178.1171208615701,183.13630000000003,179.41560000000007,107.41109999999998,224.05670000000003,244.60809999999998,216.862,305.2803999999999,115.5201
zecusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,8.449060431307979,187.0985673396185,529.2088211046156,243.46881745313746,110.14492284471736,173.01372866611104,374.1672999999999,193.28823518770668,280.56260238003557,288.48559999999986,84.39840062694905
